0	11	22	48	
1	0	4	39	
2	13	117	32	
3	3	75	49	
4	19	117	46	
5	18	26	45	
6	7	71	24	
7	3	9	59	
8	4	15	35	
9	18	126	50	
10	10	54	15	
11	3	12	42	
12	6	117	49	
13	5	44	22	
14	16	88	24	
15	19	48	48	
16	0	100	44	
17	4	50	51	
18	14	85	31	
19	16	54	27	
20	4	80	31	
21	14	90	33	
22	1	109	19	
23	14	50	27	
24	17	127	27	
25	16	2	59	
26	6	23	26	
27	15	32	45	
28	19	69	33	
29	13	101	48	
30	5	37	8	
31	2	127	21	
32	8	105	36	
33	6	113	47	
34	10	70	31	
35	5	10	28	
36	15	69	37	
37	5	19	20	
38	10	75	21	
39	3	7	8	
40	8	22	55	
41	5	43	21	
42	12	111	45	
43	6	53	53	
44	3	47	54	
45	1	97	11	
46	12	116	21	
47	8	34	33	
48	12	106	43	
49	0	88	24	
50	1	19	50	
51	17	38	40	
52	5	118	12	
53	18	21	38	
0	12	74	26	
1	10	123	15	
2	19	44	31	
3	10	51	23	
4	9	48	46	
5	1	46	8	
6	18	30	40	
7	4	62	32	
8	18	66	49	
9	1	124	50	
10	6	88	10	
11	3	34	12	
12	17	96	25	
13	14	101	39	
14	2	27	40	
15	6	3	10	
16	10	34	21	
17	2	122	30	
18	3	10	58	
19	11	104	42	
20	11	41	39	
21	11	115	36	
22	10	16	53	
23	12	89	28	
24	7	17	40	
25	18	48	24	
26	3	121	9	
27	13	98	56	
28	8	66	10	
29	17	54	45	
30	14	86	42	
31	16	120	22	
32	8	100	43	
33	2	15	11	
34	13	4	24	
35	17	113	57	
36	11	31	37	
37	2	117	43	
38	2	5	37	
39	13	33	39	
40	11	52	57	
41	4	117	10	
42	1	70	20	
43	5	12	18	
44	15	104	17	
45	9	30	27	
46	3	36	7	
47	4	55	7	
48	18	92	35	
49	12	88	56	
50	2	44	17	
51	7	98	37	
52	14	62	54	
53	11	23	17	
0	2	113	56	
1	15	84	26	
2	16	85	26	
3	3	46	26	
4	18	104	31	
5	7	19	27	
6	15	127	43	
7	9	81	40	
8	1	39	56	
9	7	87	51	
10	11	7	22	
11	9	12	53	
12	0	44	56	
13	4	36	16	
14	17	71	52	
15	16	80	45	
16	15	26	26	
17	6	90	24	
18	4	84	44	
19	2	49	56	
20	13	8	26	
21	0	10	21	
22	18	80	40	
23	15	52	18	
24	9	110	34	
25	7	59	31	
26	9	63	44	
27	3	3	42	
28	6	98	40	
29	1	67	12	
30	3	51	40	
31	5	1	10	
32	15	100	37	
33	9	36	33	
34	15	60	52	
35	7	100	44	
36	15	9	43	
37	17	105	20	
38	4	20	29	
39	16	1	29	
40	16	124	47	
41	18	20	20	
42	12	98	30	
43	11	107	14	
44	14	18	29	
45	10	60	43	
46	14	100	35	
47	8	91	51	
48	4	64	37	
49	15	45	58	
50	19	53	38	
51	11	15	19	
52	8	4	17	
53	8	60	44	
0	10	114	48	
1	6	23	33	
2	10	83	48	
3	11	14	15	
4	7	101	43	
5	11	89	36	
6	13	59	33	
7	13	30	33	
8	18	14	48	
9	15	117	29	
10	1	75	54	
11	16	100	51	
12	8	97	39	
13	3	41	58	
14	1	64	52	
15	2	54	5	
16	8	7	19	
17	0	28	23	
18	6	123	33	
19	19	126	25	
20	2	126	22	
21	16	123	49	
22	4	83	22	
23	19	12	38	
24	13	2	58	
25	10	102	19	
26	4	28	22	
27	12	70	16	
28	7	100	21	
29	12	12	45	
30	12	126	43	
31	16	127	28	
32	9	44	26	
33	14	128	38	
34	15	113	18	
35	10	28	57	
36	2	85	11	
37	5	26	6	
38	3	84	59	
39	13	7	50	
40	13	103	17	
41	3	43	28	
42	16	6	35	
43	10	50	47	
44	17	31	57	
45	13	89	15	
46	12	32	24	
47	17	43	47	
48	11	86	59	
49	11	38	15	
50	19	114	59	
51	6	28	39	
52	5	65	21	
53	1	96	49	
0	10	82	53	
1	4	93	23	
2	10	91	39	
3	8	62	48	
4	7	62	22	
5	1	78	57	
6	12	86	37	
7	6	105	12	
8	2	41	16	
9	14	2	53	
10	9	39	26	
11	3	67	51	
12	8	87	54	
13	9	72	33	
14	15	20	17	
15	2	91	29	
16	8	108	11	
17	13	38	53	
18	1	25	37	
19	8	88	10	
20	8	81	19	
21	9	96	34	
22	8	125	21	
23	15	60	20	
24	4	120	13	
25	13	30	28	
26	18	57	32	
27	6	114	54	
28	12	102	31	
29	13	106	20	
30	9	75	46	
31	1	112	36	
32	16	21	25	
33	17	32	47	
34	7	111	35	
35	6	96	35	
36	18	4	48	
37	7	102	27	
38	4	55	58	
39	12	97	19	
40	8	80	21	
41	12	28	27	
42	12	21	58	
43	2	115	41	
44	6	6	30	
45	16	67	46	
46	1	56	43	
47	13	57	42	
48	5	62	47	
49	6	56	14	
50	1	4	44	
51	2	80	5	
52	13	53	42	
53	19	19	22	
