0	2	113	56	
1	15	84	26	
2	16	85	26	
3	3	46	26	
4	18	104	31	
5	7	19	27	
6	15	127	43	
7	9	81	40	
8	1	39	56	
9	7	87	51	
10	11	7	22	
11	9	12	53	
12	0	44	56	
13	4	36	16	
14	17	71	52	
15	16	80	45	
16	15	26	26	
17	6	90	24	
18	4	84	44	
19	2	49	56	
20	13	8	26	
21	0	10	21	
22	18	80	40	
23	15	52	18	
24	9	110	34	
25	7	59	31	
26	9	63	44	
27	3	3	42	
28	6	98	40	
29	1	67	12	
30	3	51	40	
31	5	1	10	
32	15	100	37	
33	9	36	33	
34	15	60	52	
35	7	100	44	
36	15	9	43	
37	17	105	20	
38	4	20	29	
39	16	1	29	
40	16	124	47	
41	18	20	20	
42	12	98	30	
43	11	107	14	
44	14	18	29	
45	10	60	43	
46	14	100	35	
47	8	91	51	
48	4	64	37	
49	15	45	58	
50	19	53	38	
51	11	15	19	
52	8	4	17	
53	8	60	44	
