0	16	113	55	
1	14	121	56	
2	14	111	37	
3	13	103	14	
4	4	94	31	
5	18	111	43	
6	9	118	53	
7	14	107	59	
8	13	103	19	
9	4	94	17	
10	3	99	47	
11	18	106	28	
12	19	118	35	
13	12	96	40	
14	4	127	29	
15	12	101	46	
16	1	101	3	
17	15	102	18	
18	1	95	11	
19	2	100	50	
20	5	122	38	
21	16	126	44	
22	1	122	50	
23	6	90	16	
24	14	112	28	
25	13	114	31	
26	15	101	35	
27	17	91	23	
28	9	123	32	
29	5	99	21	
30	5	119	37	
31	4	125	37	
32	0	105	47	
33	4	104	48	
34	8	95	10	
35	9	115	32	
36	5	87	52	
37	0	111	24	
38	19	110	33	
39	8	89	17	
40	13	119	32	
41	18	92	38	
42	16	106	28	
43	10	87	20	
44	16	101	27	
45	14	87	21	
46	9	116	32	
47	15	89	26	
48	17	86	21	
49	13	120	29	
50	0	109	24	
51	6	91	18	
52	5	113	58	
53	17	111	53
