0	6	58	35	
1	16	49	24	
2	16	45	38	
3	14	52	42	
4	11	57	32	
5	10	67	13	
6	9	54	49	
7	17	68	25	
8	3	74	10	
9	13	78	42	
10	8	47	24	
11	9	67	31	
12	0	68	4	
13	1	51	39	
14	6	68	9	
15	7	61	12	
16	9	78	28	
17	4	63	56	
18	13	81	35	
19	10	53	40	
20	11	54	52	
21	12	53	16	
22	4	51	31	
23	0	54	8	
24	15	77	16	
25	12	76	49	
26	15	50	40	
27	4	61	37	
28	11	72	55	
29	14	73	59	
30	5	81	46	
31	13	69	22	
32	9	54	44	
33	13	50	56	
34	12	82	15	
35	4	62	9	
36	16	56	47	
37	1	65	38	
38	2	69	56	
39	3	44	32	
40	2	56	50	
41	12	66	50	
42	8	72	14	
43	3	53	17	
44	1	56	34	
45	4	61	10	
46	18	83	30	
47	4	80	31	
48	12	59	57	
49	16	60	59	
50	16	79	47	
51	6	53	42	
52	13	48	16	
53	8	51	42
